Name,Lecture,Comment,Time,Likes,Reply Count,Sentiments
"
@utkarshshastrakar9125",1,"Thank you sir, very much needed",2024-08-05T11:48:13Z,7,0,Positive
"
@dr.sandeepkulkarni459",1,"Very informative, Good",2024-01-05T10:00:00Z,2,0,Positive
 @v.shukla30_,1,Their web dev course was trash lol i invest 5k and what i got ? Major project sources codes are not correct when initializing data base it throws error and no deep lectures are their it's more like bite size course not worth 5k,2024-01-17T14:30:00Z,2,2,Negative
"
@arvindtwr648",1,sir your teaching method so simple and easy to understand you are such a good teacher sir,2024-02-01T09:15:00Z,2,1,Positive
"
@tusharchavan4723",1,"Very simplified and easily comprehensive, Thanks a lot, Ma'am",2024-02-14T16:00:00Z,0,,Positive
@Rajat_Dubey,1,This video is a great way to learn SQL because it can provide visual demonstrations and explanations that make it easier to understand the concepts and syntax of the language,2024-03-03T11:45:00Z,5,0,Positive
"
@Ecommerce.Gadgets",1,This video means a lot to use ,2024-03-19T13:30:00Z,0,0,Positive
@khangembamkumar7274,1,Mam I request you and your team to please bring a course which will cover full SQL course from beginners to advanced for job placement.,2024-04-02T08:00:00Z,2,4,Neutral
"
@Jenisonc",1,"When they say we need teachers, they are talking of people like you. Thank you for taking all of this time and effort and sharing with everyone who wants to learn.",2024-04-16T15:20:00Z,0,0,Positive
 @cosmicgamingyt7855,1,Great course and that too free. Useful for many..! Thank you Edureka!.,2024-05-05T12:00:00Z,7,0,Positive
 @AnonymousCoder7,1,Awesome!,2024-05-22T18:30:00Z,0,0,Positive
unar_nik,1,a side note tho: switch statement uses less processing as compared to if else so it is benifical to use switch (in apps with heavy lines of code),2024-06-01T07:00:00Z,5,0,Neutral
"
@___mohammad___sajid___",1,Finally good course from ws cube security ,2024-06-18T14:45:00Z,1,0,Positive
"
@Sandip...k381",1,Thank you,2024-07-02T10:30:00Z,0,0,Positive
 @shivarajchangale47,1,Sir  your straight forward  talking is truth,2024-07-30T17:00:00Z,0,0,Positive
@mahiaravaarava,1,I find it amazing how AI can now collaborate in terms to solve complex problem. ,2024-07-20T 18:00:00Z,1,1,Positive 
@yashtiwari7416,1,"I'm a content writer and if I'm lost somehow in topics, your video helps a lot. ",2024-07-18T 14:00:00Z,51,3,Positive 
@kinmansimon ,1,Your channel is one of the best about computer science among YouTube!,2024-07-17T 13:00:00Z,12,2,Positive 
@Ranjanwatson ,1,Thank you for presenting AI with clarity ,2023-12-15T 12:00:00Z,2,0,Positive
@garima1928,1,I am very eager and excited to work on AI with emotional intelligence. ,2021-05-17T 11:00:00Z,6,1,Positive
@AfricanmanSL26,1,"Thank you for the teaching, are condition to me own understand from the video, D. ",2024-07-10T 12:00:00Z,1,0,Positive
 @beatriznariamendez2809,1,"A robot that develops emotions doesn’t exist..yet..really nice video, I will show it to my students. ",2019-01-10T 11:00:00Z,14,3,Positive 
@simulacrum2731,1,"incredible breakthroughs with AI, can't wait to see what comes next ",2023-04-9T 10:00:00Z,7,1,Positive 
@bubanardjau3676,1,This is the best teacher I found ,2022-05-10T 14:0:00Z,1,2,Positive 
@subhamsapkal9294,1,"My answer is definitely D, AI that develops emotions over time. ",2021-03-9T 13:00:00Z,3,1,Positive 
@vaibhavi3956,1,option D as far as I know but your videos are very helpful to me. Thanks. ,2023-01-29T 14:00:00Z ,2,1,Positive 
@sunitachoudhary3747,1,D: option ,2020-02-13T 13:00:00Z ,8,2,Positive 
@user-hq 1ve2su8c,1,AI that can read it's woners emotions. ,2024:04:5T 12: 00: 00Z ,1,0,Positive 
@binniwhereever ,1,I found this video about AI really fasinating ,2023:03: 7T 15: 00: 00Z ,8,0,Neutral 
@khurunikhurunin9867,1,"Thank you for your video, very inspiring. ",2023-08:2T 10: 00: 00Z,2,0,Positive 
@aadyagautam ,1,AI still cannot devvelop emotions according to time ,2021-03-11T 12: 00:00Z ,11,2,Negative 
@jeetsharma9892 ,1,AI recognizes emotions by looking at the face patterns. ,2019-09-11T 8: 00: 00Z ,24,4,Positive 
@nourdey3007,1,"thank you so much, I like the video, your way of exaplining is superb. ",2022: 07:2T 12: 00: 00Z ,1,1,Positive 
@mahamouddx8671,1,"From Egypt, I love it. ",2021-05: 8T 13: 00: 00Z ,1,1,Positive 
@minageedinulya0308,1,D- AI that develops emotions over time is the answer. ,2022-06:17T 15: 00: 00Z,3,1,Positive
"
@AICharacterMandyAnderson",1,"Well, well, well, I must say I was pleasantly surprised by this video's approach to introducing AI. ",2023-08:17T 12:00: 00Z ,19,1,Positive 
"
@poojagupta3296",1,"Shared this video with my friends too over WhatsApp, thank you Simplilearn for providing such videos. Answer is D",2019: 09: 15T 17: 00: 00Z ,9,1,Positive 
@rupasingh2476,1,I think as of now no robot can generate or develope any emotions..it can only read or guess( assume) the emotions of the owner through their previous data..,2022- 06: 13T 22: 00: 00Z ,9,2,Positive 
@rayanm1001,1,The High-Level Understanding AI like JEXI,2022-09-10T 12: 00: 00Z ,1,1,Positive 
@shashankdwivedi4354,1,Ai that develops emotion over time,2021-08-15T 16:00: 00Z ,3,2,Positive 
@ananyajaiswal3563,1,D. A.I. developes emotion over time (since we know a machine can only perform the task fed in it theirfore A.I. cannot develope emotions over time),2021-10: 13T 14: 00: 00Z ,10,1,Positive 
